,latitude,longitude
0,40.25859708,-76.88320953
1,40.25902590,-76.88390229
2,40.25944424,-76.88473747
3,40.26078748,-76.88073745
4,40.26094546,-76.88059775
5,40.26096462,-76.88079023
6,40.26125158,-76.88158287
7,40.26154783,-76.88197135
8,40.26147800,-76.88209774
9,40.26113648,-76.88263162
10,40.26054910,-76.88308103
11,40.26041005,-76.88286679
12,40.25593072,-76.88818444
13,40.25631419,-76.88835292
14,40.25739153,-76.88986728
15,40.25781593,-76.89022853
16,40.25769289,-76.89043339
17,40.25854415,-76.89221664
18,40.25857709,-76.89233557
19,40.25856796,-76.89257966
20,40.25819634,-76.89284436
21,40.25874509,-76.89250695
22,40.25550018,-76.88916346
23,40.25582645,-76.88780117
24,40.25966536,-76.88498607
25,40.25966536,-76.88498607
26,40.25992758,-76.88558672
27,40.26182156,-76.88795033
28,40.26260828,-76.88878366
29,40.26244811,-76.88896655
30,40.26221051,-76.88867224
31,40.26254869,-76.88910527
32,40.26300689,-76.88925388
33,40.26455008,-76.89043305
34,40.26528626,-76.89107494
35,40.26597001,-76.89155262
36,40.26683813,-76.89214916
37,40.26783230,-76.89309849
38,40.26792643,-76.89302029
39,40.26861111,-76.89350720
40,40.27951621,-76.90062854
41,40.28042288,-76.90107027
42,40.28150340,-76.90162272
43,40.28553714,-76.90370059
44,40.28659641,-76.90409605
45,40.28783865,-76.90472084
46,40.27794515,-76.89994776
47,40.25823155,-76.88246765
48,40.25767445,-76.88150331
49,40.25688973,-76.88024711
50,40.25552105,-76.87824275
51,40.25497120,-76.87781695
52,40.25371685,-76.87627233
53,40.25297643,-76.87542073
54,40.25188377,-76.87400754
55,40.25433105,-76.87579599
56,40.25439712,-76.87567529
57,40.25425102,-76.87580446
58,40.29105352,-76.90592138
59,40.29237569,-76.90606194
60,40.29676474,-76.90519408
61,40.29947373,-76.90423083
62,40.26045097,-76.88324165
63,40.26099913,-76.88413874
64,40.26177089,-76.88522471
65,40.26184262,-76.88541195
66,40.26276060,-76.88744675
67,40.26248230,-76.88812794
68,40.26259150,-76.88845900
69,40.26364300,-76.88587755
70,40.26379776,-76.88499756
71,40.26320956,-76.88640165
72,40.26199541,-76.88527055
73,40.26193179,-76.88509076
74,40.25947126,-76.88179511
75,40.25994370,-76.88149387
76,40.26035003,-76.88111495
77,40.26051811,-76.88096640
78,40.26193826,-76.87985771
79,40.26208590,-76.88007874
80,40.26213856,-76.87944216
81,40.26280993,-76.88151331
82,40.26207887,-76.88171608
83,40.26187675,-76.88193655
84,40.26119974,-76.88275745
85,40.25935986,-76.88138388
86,40.25988889,-76.87923563
87,40.26013624,-76.87927171
88,40.26293212,-76.88407523
89,40.26238849,-76.88331667
90,40.26175555,-76.88281218
91,40.26165794,-76.88291167
92,40.26157428,-76.88330715
93,40.26958167,-76.89129184
94,40.26947730,-76.89095254
95,40.27446884,-76.88822073
96,40.27440233,-76.88799408
97,40.27672357,-76.89187917
98,40.27679790,-76.89214608
99,40.28301648,-76.89544573
100,40.28295305,-76.89542025
101,40.28304308,-76.89532905
102,40.28297863,-76.89531564
103,40.28348445,-76.89553441
104,40.28329825,-76.89545395
105,40.28341439,-76.89473813
106,40.28334456,-76.89478172
107,40.28791765,-76.89290234
108,40.28796266,-76.89271554
109,40.28794708,-76.89168036
110,40.29288080,-76.90146222
111,40.29179492,-76.90144205
112,40.29259799,-76.90087640
113,40.25171346,-76.85554690
114,40.25195475,-76.85481000
115,40.25167736,-76.85465644
116,40.25170535,-76.85496892
117,40.25175857,-76.85500915
118,40.26407599,-76.86428921
119,40.26392146,-76.86432408
120,40.26595895,-76.85704591
121,40.26717077,-76.86967652
122,40.26732017,-76.86976771
123,40.26808802,-76.87333580
124,40.26819752,-76.87328215
125,40.26830906,-76.87311988
126,40.27163294,-76.87448168
127,40.27195388,-76.87483961
128,40.27208281,-76.87497372
129,40.27213286,-76.87438792
130,40.27485048,-76.86449362
131,40.26657277,-76.88658981
132,40.26955329,-76.88873692
133,40.26954101,-76.88899441
134,40.26975897,-76.88892467
135,40.26973236,-76.88906012
136,40.27007516,-76.88814147
137,40.27049982,-76.88663943
138,40.27017953,-76.88740118
139,40.27003218,-76.88774450
140,40.26985823,-76.88812672
141,40.27016214,-76.88922382
142,40.27065126,-76.88956647
143,40.26991758,-76.88999026
144,40.27161361,-76.89057156
145,40.27268590,-76.89122381
146,40.27409958,-76.89224167
147,40.27767663,-76.89482463
148,40.27898421,-76.89555822
149,40.28236869,-76.89737681
